.geo,year,point_id,date,ndvi,savi,evi,rainfall,temp,wind_speed,soil_moisture,bsi,chl,humidity,lswi,ndmi,ndre,psri,vpd
"{""type"": ""Point"", ""coordinates"": [33.75840379610741, -0.07011882956867027]}",2026,25,1/3/2026,-0.086614173,-0.129848229,0.323529412,0.0,25.31872711,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [33.64822292325967, -0.40881405387744807]}",2026,28,1/3/2026,-0.230188679,-0.344632768,0.117624373,2.335509539,25.28210602,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [33.55719120601974, -0.7341652694697244]}",2026,29,1/3/2026,-0.082284608,-0.123367199,0.284852547,0.0,24.95072581,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [33.733768297497825, 0.7774619774423884]}",2026,37,1/3/2026,0.549019608,0.823417291,1.455385504,0.0,24.64628245,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [33.7866322487488, 0.11747862654394385]}",2026,51,1/3/2026,0.668087698,1.001978992,1.859322034,0.0,25.17736969,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [33.52183091718126, 0.9228440017221904]}",2026,69,1/3/2026,0.723134328,1.084499161,1.912374186,0.0,25.88342438,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [33.75071817437919, 0.3573954645216676]}",2026,74,1/3/2026,0.806078148,1.208825657,3.344675741,0.0,24.16784821,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [33.69305119547018, 0.8043810351960586]}",2026,78,1/3/2026,0.552021206,0.82789465,1.186102805,0.0,24.64628245,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [33.55108350314463, 1.251074421689005]}",2026,80,1/3/2026,0.482142857,0.723073938,1.261169781,0.0,25.63936513,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [33.62236801634852, 0.48477866137972947]}",2026,93,1/3/2026,0.257369116,0.385968771,0.531528257,0.0,24.06189117,,0.0,,,,,,,,
