.geo,year,point_id,date,NDVI,SAVI,EVI,Rainfall,Temp,Wind_Speed,Soil_Moisture
"{""geodesic"":false,""type"":""Point"",""coordinates"":[35.319570986111046,0.4074958150789456]}",2018,0,2018-01-22,0.8787105011171401,1.3178554332216372,2.424269108841141,0.0,18.61098696390792,2.0341878795008763,0.25890061259269714
"{""geodesic"":false,""type"":""Point"",""coordinates"":[35.319570986111046,0.4074958150789456]}",2018,0,2018-12-352,0.8872611464968153,1.3306798280528578,2.282858079318256,0.0,17.541238403320335,1.0611906860059748,0.28859108686447144
"{""geodesic"":false,""type"":""Point"",""coordinates"":[35.319570986111046,0.4074958150789456]}",2018,0,2018-12-357,0.8819255222524978,1.3226880581201756,2.164833531510107,0.0,18.04344202677413,2.099752910883754,0.30781081318855286
"{""geodesic"":false,""type"":""Point"",""coordinates"":[35.319570986111046,0.4074958150789456]}",2018,0,2018-12-362,0.908327953518399,1.362272067129256,2.2941464210011415,0.0,18.403604761759482,1.728441611095209,0.2780855596065521
"{""geodesic"":false,""type"":""Point"",""coordinates"":[33.707993366400615,0.5169106166847115]}",2018,1,2018-12-360,0.8095495009441597,1.21416048550236,2.194997074312463,0.0,22.9585955301921,0.9020932099107432,0.24316544830799103
"{""geodesic"":false,""type"":""Point"",""coordinates"":[34.1858072660238,0.8742604367074591]}",2018,2,2018-12-352,0.5130160399684459,0.7694228999605627,1.1812787599903123,0.0,20.97304178873702,0.265683196775306,0.20738762617111206
"{""geodesic"":false,""type"":""Point"",""coordinates"":[34.1858072660238,0.8742604367074591]}",2018,2,2018-12-352,0.5181483429773803,0.7771203155818541,1.1385966940238121,0.0,20.97304178873702,0.265683196775306,0.20738762617111206
"{""geodesic"":false,""type"":""Point"",""coordinates"":[34.1858072660238,0.8742604367074591]}",2018,2,2018-12-357,0.3733164983164983,0.5599158337716991,2.1394114809454896,0.3107151687145233,20.96206181844076,0.45204246255716607,0.2166280895471573
"{""geodesic"":false,""type"":""Point"",""coordinates"":[34.1858072660238,0.8742604367074591]}",2018,2,2018-12-362,0.40407226842558075,0.606021505376344,0.8621955696977114,7.91904354095459,20.28658002217611,0.5273280459478733,0.1880548745393753
"{""geodesic"":false,""type"":""Point"",""coordinates"":[34.1858072660238,0.8742604367074591]}",2018,2,2018-12-362,0.40706693478885375,0.6105127100387764,0.8297224499355895,7.91904354095459,20.28658002217611,0.5273280459478733,0.1880548745393753
"{""geodesic"":false,""type"":""Point"",""coordinates"":[33.51422675961604,0.6031488839601877]}",2018,3,2018-12-360,0.643661971830986,0.9651531151003168,1.4998359041680343,0.0,23.352719879150413,0.7984430458730456,0.2817930579185486
"{""geodesic"":false,""type"":""Point"",""coordinates"":[34.1564323562331,-1.2089327071657152]}",2018,4,2018-12-352,0.4725337935001438,0.7086987778576563,0.9813642336638395,0.0,20.97865702311202,0.46375242560328406,0.30221718549728394
"{""geodesic"":false,""type"":""Point"",""coordinates"":[34.1564323562331,-1.2089327071657152]}",2018,4,2018-12-362,0.43129023229778896,0.6468448299986008,0.8678756476683938,3.5022149085998535,21.75825970967611,0.24890193222839996,0.2910326421260834
"{""geodesic"":false,""type"":""Point"",""coordinates"":[34.84121809731741,1.1232734334653856]}",2018,5,2018-03-82,0.36193029490616624,0.5427914991384262,0.7747171667486473,0.0,19.701838429768884,1.282788930476868,0.34963545203208923
"{""geodesic"":false,""type"":""Point"",""coordinates"":[34.84121809731741,1.1232734334653856]}",2018,5,2018-05-147,0.8181045473863153,1.227026452778073,2.63014072960787,15.626468658447266,17.337394332885765,0.8161572342835509,0.46058768033981323
"{""geodesic"":false,""type"":""Point"",""coordinates"":[34.84121809731741,1.1232734334653856]}",2018,5,2018-12-352,0.565068493150685,0.8474818091025824,1.2757731958762886,0.0,19.262429809570335,1.75728683657655,0.3308045268058777
"{""geodesic"":false,""type"":""Point"",""coordinates"":[34.84121809731741,1.1232734334653856]}",2018,5,2018-12-352,0.5580995993131082,0.8370296179710974,1.3466850828729282,0.0,19.262429809570335,1.75728683657655,0.3308045268058777
"{""geodesic"":false,""type"":""Point"",""coordinates"":[34.84121809731741,1.1232734334653856]}",2018,5,2018-12-362,0.5192962542565267,0.7788338771456944,1.1199510403916768,0.0,19.91988080342611,1.4683791898502485,0.3243120610713959
"{""geodesic"":false,""type"":""Point"",""coordinates"":[34.84121809731741,1.1232734334653856]}",2018,5,2018-12-362,0.5156516789982926,0.7733674775928298,1.163776493256262,0.0,19.91988080342611,1.4683791898502485,0.3243120610713959
"{""geodesic"":false,""type"":""Point"",""coordinates"":[34.117086146788665,1.0545523142302358]}",2018,6,2018-12-352,0.7155143896791267,1.0730940962460724,2.2898581410120684,0.0,22.34722798665365,0.5275354592085106,0.3143555521965027
"{""geodesic"":false,""type"":""Point"",""coordinates"":[34.117086146788665,1.0545523142302358]}",2018,6,2018-12-362,0.6169417626907505,0.9252685660906119,2.107895296871675,0.0,21.68135541280111,0.8692771601493962,0.3102739751338959
"{""geodesic"":false,""type"":""Point"",""coordinates"":[35.835114127667225,-0.36406718245130776]}",2018,7,2018-12-352,0.5679333680374805,0.8516783762685403,1.1926104066462615,0.0,13.44618631998702,1.562911560824807,0.29168862104415894
"{""geodesic"":false,""type"":""Point"",""coordinates"":[35.835114127667225,-0.36406718245130776]}",2018,7,2018-12-357,0.6986754966887417,1.047796399751707,1.9609665427509293,0.4724300503730774,13.35569788614913,2.2694172082357795,0.2838011085987091
"{""geodesic"":false,""type"":""Point"",""coordinates"":[35.835114127667225,-0.36406718245130776]}",2018,7,2018-12-362,0.5813720580871307,0.8718397997496872,1.2244252267454123,7.193882942199707,14.107706324259482,1.693812589705816,0.2773989140987396
"{""geodesic"":false,""type"":""Point"",""coordinates"":[36.13964300898377,-0.5376216953432049]}",2018,8,2018-02-39,0.18712051517939282,0.2806549535461319,0.3091749255183316,0.0,20.09310874938967,1.748757253803526,0.14472931623458862
"{""geodesic"":false,""type"":""Point"",""coordinates"":[36.13964300898377,-0.5376216953432049]}",2018,8,2018-12-352,0.38131212723658053,0.5718545020870602,0.7909930715935334,0.0,17.62603658040365,1.2795433136373504,0.21552437543869019
"{""geodesic"":false,""type"":""Point"",""coordinates"":[36.13964300898377,-0.5376216953432049]}",2018,8,2018-12-357,0.4133438610343466,0.6198934280639432,0.8677274987568374,0.47242581844329834,17.91185022989913,1.7150483870666384,0.20777036249637604
"{""geodesic"":false,""type"":""Point"",""coordinates"":[36.13964300898377,-0.5376216953432049]}",2018,8,2018-12-359,0.37516170763260026,0.5626515763945028,0.8453578195598309,0.0,18.461121495564782,1.0220402407044966,0.19540391862392426
"{""geodesic"":false,""type"":""Point"",""coordinates"":[36.13964300898377,-0.5376216953432049]}",2018,8,2018-12-362,0.37655062024809927,0.5647129425885177,0.7828618968386024,12.714152336120605,18.64815228780111,0.9870196407032557,0.20216545462608337
"{""geodesic"":false,""type"":""Point"",""coordinates"":[36.13964300898377,-0.5376216953432049]}",2018,8,2018-12-364,0.3456830962619914,0.5184388953199934,0.6876809686759673,0.0,18.328491465250693,1.0191375621973668,0.21853019297122955
"{""geodesic"":false,""type"":""Point"",""coordinates"":[34.05105997340587,0.8702180179289201]}",2018,9,2018-12-352,0.6397998888271261,0.9595664860358482,1.8999669858038957,0.0,22.425027465820335,0.6755093647041125,0.24414603412151337
"{""geodesic"":false,""type"":""Point"",""coordinates"":[34.05105997340587,0.8702180179289201]}",2018,9,2018-12-352,0.646733111849391,0.9699653979238754,1.810572004340412,0.0,22.425027465820335,0.6755093647041125,0.24414603412151337
"{""geodesic"":false,""type"":""Point"",""coordinates"":[34.05105997340587,0.8702180179289201]}",2018,9,2018-12-357,0.4603024574669187,0.6903721204961607,4.549276039234003,0.6031333208084106,22.23143030802413,0.8571302049042331,0.2445669323205948
"{""geodesic"":false,""type"":""Point"",""coordinates"":[34.05105997340587,0.8702180179289201]}",2018,9,2018-12-362,0.659919028340081,0.9897449736877615,1.935254076302042,8.559691429138184,21.748331324259482,0.8479946518791232,0.22384054958820343
"{""geodesic"":false,""type"":""Point"",""coordinates"":[34.05105997340587,0.8702180179289201]}",2018,9,2018-12-362,0.6667561041051784,1.0,1.856972052010163,8.559691429138184,21.748331324259482,0.8479946518791232,0.22384054958820343
"{""geodesic"":false,""type"":""Point"",""coordinates"":[36.31346701646089,-0.4098812619414076]}",2018,10,2018-02-39,0.16441136671177267,0.2465753424657534,0.3268765133171913,0.0,18.096201197306357,1.733207185612442,0.23488587141036987
"{""geodesic"":false,""type"":""Point"",""coordinates"":[36.31346701646089,-0.4098812619414076]}",2018,10,2018-12-359,0.32148541114058354,0.48216416920832783,0.5945839874411303,0.0,16.241150792439782,1.2241354674772151,0.2993086576461792
"{""geodesic"":false,""type"":""Point"",""coordinates"":[36.31346701646089,-0.4098812619414076]}",2018,10,2018-12-364,0.36526286815304154,0.5478189073895693,0.705250850340136,0.0,16.81498235066732,1.0467752333453104,0.31763219833374023
"{""geodesic"":false,""type"":""Point"",""coordinates"":[36.31346701646089,-0.4098812619414076]}",2018,10,2018-12-364,0.3569289409202287,0.5353205389955084,0.6879722921914357,0.0,16.81498235066732,1.0467752333453104,0.31763219833374023
"{""geodesic"":false,""type"":""Point"",""coordinates"":[34.59732549767895,0.8855792092873571]}",2018,11,2018-12-352,0.42284786139685976,0.634185952090946,0.8864926220204314,0.0,15.479226684570335,1.2884048254033529,0.3397766947746277
"{""geodesic"":false,""type"":""Point"",""coordinates"":[34.59732549767895,0.8855792092873571]}",2018,11,2018-12-352,0.42579600647598487,0.6386078510724402,0.8558411975268467,0.0,15.479226684570335,1.2884048254033529,0.3397766947746277
"{""geodesic"":false,""type"":""Point"",""coordinates"":[34.59732549767895,0.8855792092873571]}",2018,11,2018-12-357,-0.020724837921139334,-0.031086430905757634,0.12216514221275529,0.001043163356371224,15.55394007364913,1.1753776284232924,0.34762099385261536
"{""geodesic"":false,""type"":""Point"",""coordinates"":[34.59732549767895,0.8855792092873571]}",2018,11,2018-12-362,0.4460242232754081,0.6689482690535737,0.8824755157324443,0.0,16.342081324259482,0.9982560909424082,0.3269594609737396
"{""geodesic"":false,""type"":""Point"",""coordinates"":[34.59732549767895,0.8855792092873571]}",2018,11,2018-12-362,0.44818516570226197,0.672189349112426,0.8523409363745499,0.0,16.342081324259482,0.9982560909424082,0.3269594609737396
"{""geodesic"":false,""type"":""Point"",""coordinates"":[34.51351268167059,-0.5640321646963145]}",2018,12,2018-12-352,0.6695600119724633,1.004189735148885,1.9852680156194533,0.0,20.87904764811202,0.4003707869804475,0.2641236186027527
"{""geodesic"":false,""type"":""Point"",""coordinates"":[34.51351268167059,-0.5640321646963145]}",2018,12,2018-12-357,0.6512046026609133,0.9766313140391876,1.822298249144697,5.658825397491455,21.24160283406576,0.5741832520364619,0.2755461037158966
"{""geodesic"":false,""type"":""Point"",""coordinates"":[34.51351268167059,-0.5640321646963145]}",2018,12,2018-12-362,0.7214689265536723,1.0820505578308148,2.0573545996455613,6.682441234588623,21.714639918009482,0.24417629462265403,0.23493370413780212
"{""geodesic"":false,""type"":""Point"",""coordinates"":[36.18869102349669,-0.8224774719375034]}",2018,13,2018-02-39,0.22916666666666666,0.3436973502833512,0.4094143404488232,0.0,18.118173853556357,1.3406373952091548,0.21935242414474487
"{""geodesic"":false,""type"":""Point"",""coordinates"":[36.18869102349669,-0.8224774719375034]}",2018,13,2018-12-359,0.3420970266040689,0.5130652480050071,0.6850946471104425,0.0,16.151713943481468,1.4921861118385265,0.2667311429977417
"{""geodesic"":false,""type"":""Point"",""coordinates"":[36.18869102349669,-0.8224774719375034]}",2018,13,2018-12-364,0.34708308780200353,0.5205479452054794,0.6465422612513722,0.0,16.27909367879232,1.5212562905338707,0.25081777572631836
"{""geodesic"":false,""type"":""Point"",""coordinates"":[36.08763055403324,-1.1674305410393941]}",2018,14,2018-01-22,0.21308652604390874,0.3195610071013557,0.3464930701385972,0.0,20.99062563578292,1.9791195548533593,0.21704573929309845
"{""geodesic"":false,""type"":""Point"",""coordinates"":[36.08763055403324,-1.1674305410393941]}",2018,14,2018-03-82,0.27917084587094615,0.41868627778706335,0.46653257347189625,0.0,18.65268478393557,2.0596869426270596,0.36111006140708923
"{""geodesic"":false,""type"":""Point"",""coordinates"":[36.08763055403324,-1.1674305410393941]}",2018,14,2018-12-352,0.17760746417860712,0.26636681659170414,0.31283014438314355,0.0,18.34413553873702,0.6492244440121431,0.24472206830978394
"{""geodesic"":false,""type"":""Point"",""coordinates"":[36.08763055403324,-1.1674305410393941]}",2018,14,2018-12-357,0.23359253499222396,0.35033431814647803,0.41232019325793345,0.11408720165491104,19.197087860107445,1.8008610018530524,0.25644972920417786
"{""geodesic"":false,""type"":""Point"",""coordinates"":[36.08763055403324,-1.1674305410393941]}",2018,14,2018-12-359,0.20656314093173161,0.3097993262047751,0.34514834035053366,0.0,19.208191808064782,2.543633042971643,0.241874560713768
"{""geodesic"":false,""type"":""Point"",""coordinates"":[36.08763055403324,-1.1674305410393941]}",2018,14,2018-12-362,0.22630792227204782,0.33941114930503663,0.4581215202130235,0.0,19.75240033467611,2.215049260322121,0.22591955959796906
"{""geodesic"":false,""type"":""Point"",""coordinates"":[36.08763055403324,-1.1674305410393941]}",2018,14,2018-12-364,0.09156149467953477,0.13733374574698423,-1.9903173749327596,0.0,19.060262298584007,2.8055630753051966,0.21862556040287018
"{""geodesic"":false,""type"":""Point"",""coordinates"":[35.91488452489705,-0.2549218754307816]}",2018,15,2018-12-352,0.38699513033514754,0.5804095660890735,0.7832792207792207,0.0,16.25136210123702,1.214677135099637,0.3153015971183777
"{""geodesic"":false,""type"":""Point"",""coordinates"":[35.91488452489705,-0.2549218754307816]}",2018,15,2018-12-357,0.3798489976568602,0.5696993361967981,0.7655577710147969,0.5218749642372131,16.33291142781576,1.7600679590852595,0.3078184425830841
"{""geodesic"":false,""type"":""Point"",""coordinates"":[35.91488452489705,-0.2549218754307816]}",2018,15,2018-12-362,0.41416368145494625,0.6211599393855902,0.8177366702937976,5.452982425689697,17.146117782592796,1.2076623551543697,0.3022097051143646
"{""geodesic"":false,""type"":""Point"",""coordinates"":[36.05313524712304,0.34685953340088815]}",2018,16,2018-12-352,0.6755190729116369,1.0131563065781535,1.5586007130124777,0.0,21.24013163248702,0.49298419654254066,0.1885048747062683
"{""geodesic"":false,""type"":""Point"",""coordinates"":[36.05313524712304,0.34685953340088815]}",2018,16,2018-12-357,0.5617919670442842,0.8425794825588879,1.1916985253959584,0.9939448833465576,22.35838343302413,0.8327620290373363,0.1768217235803604
"{""geodesic"":false,""type"":""Point"",""coordinates"":[36.05313524712304,0.34685953340088815]}",2018,16,2018-12-362,0.6134937238493724,0.9201202771604131,1.35842501447597,0.0,22.631957626342796,0.7987102108414992,0.16418249905109406
"{""geodesic"":false,""type"":""Point"",""coordinates"":[34.78597170734406,1.3313232532674704]}",2018,17,2018-12-352,0.48710840033268643,0.7305613305613305,0.9636902150065818,0.0,20.846170043945335,1.230136136628594,0.13217896223068237
"{""geodesic"":false,""type"":""Point"",""coordinates"":[34.78597170734406,1.3313232532674704]}",2018,17,2018-12-362,0.46128133704735375,0.6918256510235343,0.8473188702415063,0.0,20.944864527384482,1.3879944753310478,0.1159265860915184
